character_id	name	tier	volume	book_anchor	role	house_pressure	region	source_anchor	candidate_draws	selection_score	story_background_law	visual_status
WC00048	Aerdalenarel48	support	V1	B15	glass forge worker	Pip-no-path	ash river	Soth source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00049	Aerdalenevaramossel49	background	V1	B16	ripper survivor	Mack-ground	morrow market	Vellin source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00050	Aeranoraen50	story	V1	B17	map seller	Dervish-glass	root vale	Corrath source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00051	Aeranorluthelle51	recurring-background	V1	B18	cellar cook	Vayne	ripper tunnel	Dervish source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00052	Aeranorluthhaloren52	deep-background	V1	B19	triage helper	Null-Heart	cello field	Pip source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00053	Aerdalenluthaeliven53	support	V1	B20	faction runner	Iron-Song	blue-light road	Rolzen source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00054	Aerdalenamardria54	background	V1	B21	wolf-road scout	Wren-Ash	xeth glyph yard	Xethrolund source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00055	Aerdalenevaraion55	story	V1	B22	glyph apprentice	Thorn-Vayne	stone fen	Rylos source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00056	Aerindrael56	recurring-background	V1	B23	corridor child	Marso-len	pocket sanctuary	Kyreal source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00057	Aerdalencoriaarel57	deep-background	V1	B24	field healer	Rolzen-line	glass orchard	Thessa source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00058	Aerdalenamarel58	support	V1	B25	cavern farmer	Kyreal-pack	neith edge	Kael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00059	Aerdalenianmossaen59	background	V1	B26	garden watcher	Xethrolund-glyph	willow-stone county	Pael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00060	Aerdalengroveelle60	story	V1	B27	stone archivist	Pip-no-path	last open gate	Soth source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00061	Aerfiraianiven61	recurring-background	V1	B28	orchard guard	Mack-ground	diamond breakland	Vellin source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00062	Aerdalenluthaelaria62	deep-background	V1	B29	sonomancy listener	Dervish-glass	black-heart ridge	Corrath source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00063	Aermaelorluthelle63	support	V1	B30	tunnel witness	Vayne	ash river	Dervish source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00064	Aeranorianhaloraen64	background	V1	B31	threshold mason	Null-Heart	morrow market	Pip source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00065	Aermaeloraen65	story	V1	B32	bookbinder	Iron-Song	root vale	Rolzen source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00066	Aeranorianendariven66	recurring-background	V1	B33	bridge keeper	Wren-Ash	ripper tunnel	Xethrolund source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00067	Aerdalenmarrowdion67	deep-background	V1	B01	market singer	Thorn-Vayne	cello field	Rylos source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00068	Aeranormireiven68	support	V1	B02	glass forge worker	Marso-len	blue-light road	Kyreal source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00069	Ashajoradalenen69	background	V1	B03	ripper survivor	Rolzen-line	xeth glyph yard	Thessa source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00070	Aerdalenamarion70	story	V1	B04	map seller	Kyreal-pack	stone fen	Kael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00071	Aerindracoriaael71	recurring-background	V1	B05	cellar cook	Xethrolund-glyph	pocket sanctuary	Pael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00072	Aerindradria72	deep-background	V1	B06	triage helper	Pip-no-path	glass orchard	Soth source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00073	Aeranorcoriael73	support	V1	B07	faction runner	Mack-ground	neith edge	Vellin source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00074	Aeranorianael74	background	V1	B08	wolf-road scout	Dervish-glass	willow-stone county	Corrath source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00075	Aerfiraevaraaelael75	story	V1	B09	glyph apprentice	Vayne	last open gate	Dervish source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00076	Ashaavelanorel76	recurring-background	V1	B10	corridor child	Null-Heart	diamond breakland	Pip source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00077	Aermaeloriel77	deep-background	V1	B11	field healer	Iron-Song	black-heart ridge	Rolzen source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00078	Aeranoramaravel78	support	V1	B12	cavern farmer	Wren-Ash	ash river	Xethrolund source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00079	Aerfiraamariel79	background	V1	B13	garden watcher	Thorn-Vayne	morrow market	Rylos source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00080	Aerdalenamarhalorel80	story	V1	B14	stone archivist	Marso-len	root vale	Kyreal source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00081	Aerdalenmossavel81	recurring-background	V1	B15	orchard guard	Rolzen-line	ripper tunnel	Thessa source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00082	Aeranoramarbrinael82	deep-background	V1	B16	sonomancy listener	Kyreal-pack	cello field	Kael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00083	Aerdalenluthivyel83	support	V1	B17	tunnel witness	Xethrolund-glyph	blue-light road	Pael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00084	Ashaelionindraelle84	background	V1	B18	threshold mason	Pip-no-path	xeth glyph yard	Soth source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00085	Aerfiraarel85	story	V1	B19	bookbinder	Mack-ground	stone fen	Vellin source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00086	Aeranoriven86	recurring-background	V1	B20	bridge keeper	Dervish-glass	pocket sanctuary	Corrath source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00087	Aerdalenianaelavel87	deep-background	V1	B21	market singer	Vayne	glass orchard	Dervish source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00088	Aeranorianmarrowel88	support	V1	B22	glass forge worker	Null-Heart	neith edge	Pip source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00089	Aeranorluthdria89	background	V1	B23	ripper survivor	Iron-Song	willow-stone county	Rolzen source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00090	Aerdalenianavel90	story	V1	B24	map seller	Wren-Ash	last open gate	Xethrolund source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00091	Brenendarnaradion91	recurring-background	V1	B25	cellar cook	Thorn-Vayne	diamond breakland	Rylos source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00092	Aeranorevarahaloren92	deep-background	V1	B26	triage helper	Marso-len	black-heart ridge	Kyreal source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00093	Aeranoramaraelion93	support	V1	B27	faction runner	Rolzen-line	ash river	Thessa source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00094	Aerfiraluthdion94	background	V1	B28	wolf-road scout	Kyreal-pack	morrow market	Kael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00095	Aeranoravel95	story	V1	B29	glyph apprentice	Xethrolund-glyph	root vale	Pael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00096	Aerfiraamaravel96	recurring-background	V1	B30	corridor child	Pip-no-path	ripper tunnel	Soth source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00097	Aerdalenamaraelion97	deep-background	V1	B31	field healer	Mack-ground	cello field	Vellin source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00098	Ashaeliongroveaen98	support	V1	B32	cavern farmer	Dervish-glass	blue-light road	Corrath source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00099	Aermaelorion99	background	V1	B33	garden watcher	Vayne	xeth glyph yard	Dervish source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00100	Ashaelionfiraael100	story	V1	B01	stone archivist	Null-Heart	stone fen	Pip source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00101	Aerindraevaraarel101	recurring-background	V1	B02	orchard guard	Iron-Song	pocket sanctuary	Rolzen source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00102	Aeranorianiven102	deep-background	V1	B03	sonomancy listener	Wren-Ash	glass orchard	Xethrolund source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00103	Aerfiraianendardion103	support	V1	B04	tunnel witness	Thorn-Vayne	neith edge	Rylos source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00104	Aerindracoriaelle104	background	V1	B05	threshold mason	Marso-len	willow-stone county	Kyreal source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00105	Aerfiraamarendarel105	story	V1	B06	bookbinder	Rolzen-line	last open gate	Thessa source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00106	Aeranordria106	recurring-background	V1	B07	bridge keeper	Kyreal-pack	diamond breakland	Kael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00107	Aerdalenianhaloren107	deep-background	V1	B08	market singer	Xethrolund-glyph	black-heart ridge	Pael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00108	Ashagalenhollowarel108	support	V1	B09	glass forge worker	Pip-no-path	ash river	Soth source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00109	Aerdalenamarmossion109	background	V1	B10	ripper survivor	Mack-ground	morrow market	Vellin source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00110	Ashaelionael110	story	V1	B11	map seller	Dervish-glass	root vale	Corrath source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00111	Aeranorcoriabellen111	recurring-background	V1	B12	cellar cook	Vayne	ripper tunnel	Dervish source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00112	Aeranorcoriaiel112	deep-background	V1	B13	triage helper	Null-Heart	cello field	Pip source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00113	Aerindracoriadion113	support	V1	B14	faction runner	Iron-Song	blue-light road	Rolzen source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00114	Aeranorion114	background	V1	B15	wolf-road scout	Wren-Ash	xeth glyph yard	Xethrolund source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00115	Aerdaleniven115	story	V1	B16	glyph apprentice	Thorn-Vayne	stone fen	Rylos source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00116	Aeranoraria116	recurring-background	V1	B17	corridor child	Marso-len	pocket sanctuary	Kyreal source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00117	Aerdalenluthdria117	deep-background	V1	B18	field healer	Rolzen-line	glass orchard	Thessa source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00118	Aerindraiven118	support	V1	B19	cavern farmer	Kyreal-pack	neith edge	Kael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00119	Ashanaraanordria119	background	V1	B20	garden watcher	Xethrolund-glyph	willow-stone county	Pael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00120	Ashaelionel120	story	V1	B21	stone archivist	Pip-no-path	last open gate	Soth source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00121	Aerfiraevaramossiel121	recurring-background	V1	B22	orchard guard	Mack-ground	diamond breakland	Vellin source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00122	Aeranorluthhalorion122	deep-background	V1	B23	sonomancy listener	Dervish-glass	black-heart ridge	Corrath source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00123	Aeranorevaraaeliven123	support	V1	B24	tunnel witness	Vayne	ash river	Dervish source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00124	Aeranorevarael124	background	V1	B25	threshold mason	Null-Heart	morrow market	Pip source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00125	Ashanaramarrowaen125	story	V1	B26	bookbinder	Iron-Song	root vale	Rolzen source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00126	Ashajorafiraiandion126	recurring-background	V1	B27	bridge keeper	Wren-Ash	ripper tunnel	Xethrolund source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00127	Aerindraavel127	deep-background	V1	B28	market singer	Thorn-Vayne	cello field	Rylos source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00128	Aermaelorel128	support	V1	B29	glass forge worker	Marso-len	blue-light road	Kyreal source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00129	Aeranoramararia129	background	V1	B30	ripper survivor	Rolzen-line	xeth glyph yard	Thessa source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00130	Aerindraiankelanaen130	story	V1	B31	map seller	Kyreal-pack	stone fen	Kael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00131	Aerfiradria131	recurring-background	V1	B32	cellar cook	Xethrolund-glyph	pocket sanctuary	Pael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00132	Aerfiraianel132	deep-background	V1	B33	triage helper	Pip-no-path	glass orchard	Soth source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00133	Aeranorcoriaael133	support	V1	B01	faction runner	Mack-ground	neith edge	Vellin source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00134	Aermaeloramarel134	background	V1	B02	wolf-road scout	Dervish-glass	willow-stone county	Corrath source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00135	Aeranorelle135	story	V1	B03	glyph apprentice	Vayne	last open gate	Dervish source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00136	Aerfiraael136	recurring-background	V1	B04	corridor child	Null-Heart	diamond breakland	Pip source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00137	Aerdalenamarivyion137	deep-background	V1	B05	field healer	Iron-Song	black-heart ridge	Rolzen source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00138	Aerfiraiel138	support	V1	B06	cavern farmer	Wren-Ash	ash river	Xethrolund source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00139	Aerindraluthdion139	background	V1	B07	garden watcher	Thorn-Vayne	morrow market	Rylos source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00140	Aeranordion140	story	V1	B08	stone archivist	Marso-len	root vale	Kyreal source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00141	Ashaavelmaelorelle141	recurring-background	V1	B09	orchard guard	Rolzen-line	ripper tunnel	Thessa source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00142	Aeranorianavel142	deep-background	V1	B10	sonomancy listener	Kyreal-pack	cello field	Kael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00143	Aerfiraianaen143	support	V1	B11	tunnel witness	Xethrolund-glyph	blue-light road	Pael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00144	Aerdalenamaraelel144	background	V1	B12	threshold mason	Pip-no-path	xeth glyph yard	Soth source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00145	Ashaelionanoriven145	story	V1	B13	bookbinder	Mack-ground	stone fen	Vellin source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00146	Ashaaveldion146	recurring-background	V1	B14	bridge keeper	Dervish-glass	pocket sanctuary	Corrath source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00147	Aerfiraevaraael147	deep-background	V1	B15	market singer	Vayne	glass orchard	Dervish source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00148	Ashaelioncinderdion148	support	V1	B16	glass forge worker	Null-Heart	neith edge	Pip source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00149	Aeranorevaraarel149	background	V1	B17	ripper survivor	Iron-Song	willow-stone county	Rolzen source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00150	Aerdalenianaelion150	story	V1	B18	map seller	Wren-Ash	last open gate	Xethrolund source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00151	Aerdalencoriael151	recurring-background	V1	B19	cellar cook	Thorn-Vayne	diamond breakland	Rylos source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00152	Ashaavelion152	deep-background	V1	B20	triage helper	Marso-len	black-heart ridge	Kyreal source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00153	Aerdalenianbrinael153	support	V1	B21	faction runner	Rolzen-line	ash river	Thessa source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
